genero,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
classical,0.815,0.221,0.1786844805724137,0.161,0.7490000000000001,0.113,0.6607008372834803,0.0357,0.4730673729514981,0.034
classical,0.914,0.14400000000000002,0.15852845611016786,0.21,0.883,0.0694,0.6286049705400257,0.0344,0.41985007212618536,0.084
classical,0.955,0.294,0.17344375615675467,0.305,0.912,0.0989,0.6242191999291189,0.0386,0.4567550310970274,0.187
classical,0.9420000000000001,0.0685,0.11173889867735227,0.0173,0.66,0.1,0.375625747574536,0.0408,0.3547000260127227,0.073
classical,0.937,0.46799999999999997,0.11393586978125518,0.275,0.662,0.335,0.565144198821601,0.0403,0.5392153616950836,0.6829999999999999
classical,0.977,0.239,0.08928435246845114,0.249,0.8759999999999999,0.0967,0.6962078589465291,0.0349,0.7984203183011329,0.158
classical,0.995,0.38299999999999995,0.02982941467711045,0.17,0.847,0.105,0.4858459221193461,0.0685,0.5477002388440891,0.069
classical,0.9740000000000001,0.15,0.2829497261096186,0.037000000000000005,0.00266,0.12300000000000001,0.3753377929384663,0.046,0.34588407784898434,0.0356
classical,0.102,0.079,0.04343245914167184,0.149,0.915,0.111,0.5190271563372171,0.0486,0.3844065552060917,0.111
classical,0.48200000000000004,0.233,0.08927921566551036,0.537,0.773,0.0789,0.6791963850617996,0.0616,0.4021141249083643,0.0857
classical,0.89,0.32,0.04315309608943095,0.0856,0.0255,0.0912,0.5189607052673548,0.0413,0.2240972402866129,0.0815
classical,0.723,0.39,0.18376991548378607,0.0432,0.000303,0.10800000000000001,0.4310459398396314,0.0506,0.6973112304017783,0.326
classical,0.9229999999999999,0.19,0.09985826375270324,0.136,0.976,0.0968,0.6303548487130644,0.0355,0.3490245229030199,0.036000000000000004
classical,0.995,0.45399999999999996,0.05431734457318502,0.0118,0.8390000000000001,0.127,0.23229078988171714,0.0348,0.3456097618653487,0.146
classical,0.69,0.188,0.564757501411633,0.28,0.721,0.691,0.6176848447260002,0.0479,0.4705228557239813,0.0392
classical,0.981,0.254,0.16830774349335,0.00822,0.9329999999999999,0.0977,0.3231294023833784,0.0495,0.5277744933431078,0.0363
classical,0.858,0.158,0.1510524321378939,0.10300000000000001,0.604,0.0973,0.4432729366942808,0.0449,0.5061224489795918,0.0393
classical,0.995,0.33299999999999996,0.0704887905081365,0.223,0.8740000000000001,0.0955,0.5538918176582643,0.0406,0.5474543003760021,0.4320000000000001
classical,0.995,0.5329999999999999,0.058100007231037976,0.00805,0.92,0.0726,0.20965312541531925,0.0397,0.32801570222527016,0.0679
classical,0.785,0.183,0.10474770987495044,0.131,0.899,0.121,0.5763301289150755,0.0401,0.5290089152694681,0.0543
classical,0.7490000000000001,0.23399999999999999,0.1046105967503004,0.271,0.948,0.0974,0.6159571169095822,0.031,0.40579374275782143,0.127
classical,0.9179999999999999,0.0636,0.1544138769546029,0.0344,0.484,0.0941,0.3206264120852346,0.0503,0.3118547071203916,0.0353
classical,0.9620000000000001,0.62,0.021004387224850117,0.055,0.9079999999999999,0.10800000000000001,0.4704514242679307,0.0461,0.4659588053065954,0.532
classical,0.9620000000000001,0.375,0.055526864096394866,0.20800000000000002,4.72e-06,0.0856,0.6833163513932575,0.0341,0.3202591813086764,0.379
classical,0.971,0.113,0.3731361802022083,0.0341,0.93,0.24,0.4633854605059142,0.0407,0.3754487194646109,0.0372
classical,0.988,0.16,0.18569305547707665,0.0157,0.875,0.0594,0.3049439595977496,0.0409,0.30811833423983725,0.0372
classical,0.975,0.6920000000000001,0.08216671928596858,0.124,0.775,0.1,0.5895981925308997,0.0699,0.6126847494501857,0.821
classical,0.9109999999999999,0.188,0.13194905713982022,0.10099999999999999,0.0481,0.174,0.5513223762902583,0.0455,0.6523896232884809,0.0707
classical,0.995,0.184,0.12342986703188018,0.00527,0.887,0.17300000000000001,0.14486333229964998,0.0432,0.8069241137938373,0.151
classical,0.992,0.272,0.09361507248621656,0.0039700000000000004,0.9,0.0763,0.2703008018429097,0.0475,0.3408092321517251,0.19
classical,0.987,0.375,0.06910066829806259,0.007229999999999999,0.927,0.153,0.041399016524166034,0.0422,0.5655686144678034,0.135
classical,0.993,0.382,0.08237219140359979,0.0374,0.89,0.11599999999999999,0.3137155008195633,0.0557,0.3313926265755433,0.0883
classical,0.85,0.113,0.3907068122304907,0.0657,0.879,0.0755,0.4274132813538297,0.0435,0.3708137252583537,0.0383
classical,0.892,0.239,0.2222145389699604,0.154,0.344,0.0664,0.5980153280467817,0.0389,0.4353631139593729,0.162
classical,0.9940000000000001,0.0677,0.11087473036723794,0.0581,0.5670000000000001,0.11699999999999999,0.4018517698134941,0.0402,0.34766713174261593,0.0372
classical,0.99,0.138,0.1337560263589116,0.0661,0.9059999999999999,0.10400000000000001,0.4978071146945466,0.043,0.35878165866578376,0.0399
classical,0.978,0.19699999999999998,0.028875549884876343,0.0364,0.975,0.102,0.3632436982235414,0.0455,0.3923948258329984,0.0581
classical,0.988,0.435,0.06873200390238968,0.0428,0.929,0.107,0.3976210516989324,0.0377,0.6683661645422944,0.152
classical,0.968,0.465,0.03520843763348279,0.46299999999999997,0.882,0.085,0.6332565454303815,0.0393,0.4911674982855251,0.75
classical,0.99,0.192,0.046045906422465685,0.0236,3.77e-05,0.0734,0.40712355468923056,0.0423,0.31809303095513985,0.0393
classical,0.893,0.39,0.05254712325205462,0.157,0.937,0.256,0.618127851858415,0.0412,0.5200841866294605,0.5710000000000001
classical,0.948,0.16699999999999998,0.10387287282026683,0.0439,0.9129999999999999,0.0904,0.5715899525982368,0.0437,0.3635963771371816,0.0366
classical,0.922,0.23600000000000002,0.17368083936940604,0.0514,0.22699999999999998,0.0851,0.5124928011340982,0.045,0.3796296734220919,0.0396
classical,0.992,0.39299999999999996,0.09055946501382788,0.0462,0.9059999999999999,0.1,0.40377885083949855,0.0379,0.6473857213800931,0.071
classical,0.912,0.0876,0.23438481055273186,0.0865,0.8959999999999999,0.0906,0.5177202852965933,0.0457,0.4088112185778136,0.0298
classical,0.537,0.0784,0.1559521518660227,0.10099999999999999,0.7559999999999999,0.442,0.4413015549550348,0.0451,0.8226499869936388,0.0368
classical,0.978,0.121,0.16476651057371372,0.0238,0.91,0.0771,0.3364639170690648,0.04,0.453193652895689,0.03
classical,0.978,0.28600000000000003,0.04499207154223025,0.045,0.263,0.11199999999999999,0.3651264785363045,0.0431,0.4242154799347317,0.0733
classical,0.927,0.204,0.08069166656458918,0.0331,0.825,0.0954,0.4376910468258539,0.0487,0.5495778844562159,0.0547
classical,0.973,0.228,0.5773968026167664,0.163,0.38799999999999996,0.134,0.5453639303592788,0.0449,0.4255634119232861,0.0604
classical,0.99,0.295,0.03538229865609381,0.213,0.892,0.0845,0.5555087936915785,0.0487,0.5367890841156856,0.16699999999999998
classical,0.978,0.19,0.07392136028864091,0.0144,0.193,0.0646,0.1805918575289062,0.0443,0.2798779766831414,0.0542
classical,0.8959999999999999,0.278,0.2734561239976813,0.136,0.6709999999999999,0.209,0.5594294068134498,0.0446,0.4887506798779767,0.09300000000000001
classical,0.929,0.318,0.05298967858233722,0.188,0.315,0.0978,0.5437248039693439,0.0321,0.38194244093929575,0.22
classical,0.995,0.308,0.10735562521411578,0.00605,0.929,0.0869,0.19137908120320735,0.0486,0.3127296805164708,0.0739
classical,0.8690000000000001,0.132,0.19695687891014427,0.129,0.779,0.0784,0.5296371771585523,0.04,0.4562253174734552,0.0593
classical,0.965,0.0918,0.22402150818905173,0.05,0.355,0.0743,0.3921499136136092,0.0441,0.4030363941636911,0.0357
classical,0.992,0.318,0.08904213245285897,0.0031899999999999997,0.79,0.11599999999999999,0.3259867983874541,0.0501,0.4681013077305082,0.133
classical,0.986,0.15,0.07617127997670263,0.0231,0.17800000000000002,0.0832,0.2843662782970806,0.0444,0.3892685695367371,0.261
classical,0.97,0.22399999999999998,0.08205608045339792,0.121,0.622,0.264,0.5423071811456165,0.0447,0.42361482252228827,0.0481
classical,0.986,0.0941,0.2406173330746492,0.23199999999999998,7.759999999999999e-05,0.122,0.44305143312807344,0.0449,0.4153238583961974,0.0483
classical,0.843,0.488,0.06795753207439513,0.0629,0.406,0.133,0.4935099455101227,0.0342,0.4933478373968359,0.175
classical,0.932,0.162,0.06583445190510191,0.102,0.9,0.17,0.4538386568023745,0.036000000000000004,0.6225364769314446,0.0445
classical,0.767,0.0804,0.10423126361005818,0.0836,0.853,0.11900000000000001,0.5049616798830461,0.04,0.38848818785915296,0.0498
